PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=0.0001, maxIter=40, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='no_precond')

###### no preconditioning (PIVMGS) ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9560826192431824
# TT-PIVMGS:    ortho max err 2.4754504002189037e-15 , max. rank: 4
1 0.2930972964411238 0.29309729644112464 4 4 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.894726327709815
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.6025871905012381
# TT-PIVMGS:    ortho max err 3.871035436642245e-15 , max. rank: 6
2 0.12226275695799327 0.1222627569579919 6 6 4
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.8607975095107834
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.6598453180848841
# TT-PIVMGS:    ortho max err 8.238927526034532e-07 , max. rank: 8
3 0.06211217964369631 0.06211218238148899 8 8 6
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.8437288705241214
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.6841711380837566
# TT-PIVMGS:    ortho max err 2.0014482411651697e-06 , max. rank: 10
4 0.03570777187402777 0.035707669058262066 10 10 8
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8367165269416881
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6972160006128467
# TT-PIVMGS:    ortho max err 3.492044444463639e-06 , max. rank: 12
5 0.0221730716090756 0.022172797854485095 12 12 8
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.8338541267161919
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.7031790022966133
# TT-PIVMGS:    ortho max err 5.120177832919348e-06 , max. rank: 14
6 0.01445696755788903 0.014456925250362676 14 14 10
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.8303980171858795
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.7039595626998533
# TT-PIVMGS:    ortho max err 6.636247891746161e-06 , max. rank: 16
7 0.009800159733151988 0.009800248291236005 16 16 12
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.826823993405333
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.7041975749795345
# TT-PIVMGS:    ortho max err 7.666619988591639e-06 , max. rank: 18
8 0.006887157274719067 0.006885983926196451 18 18 13
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.8279870043416397
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.7061912782615164
# TT-PIVMGS:    ortho max err 7.964826162266481e-06 , max. rank: 20
9 0.004947572352334231 0.0049543828954501335 20 20 14
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.8269300116796325
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.7071756942710005
# TT-PIVMGS:    ortho max err 1.176569735509593e-05 , max. rank: 22
10 0.0036125753588342768 0.003598967216842539 21 22 16
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.8268879443053585
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.7065197530697467
# TT-PIVMGS:    ortho max err 3.58807703624087e-05 , max. rank: 24
11 0.0026685426686460087 0.002665621190825767 22 24 17
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.8264645858283355
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.7058503290228488
# TT-PIVMGS:    ortho max err 3.377257645943645e-05 , max. rank: 26
12 0.0019894628568783686 0.0019885418038606225 24 26 17
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.8259305029364119
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.7060946735250597
# TT-PIVMGS:    ortho max err 0.00045643061728245916 , max. rank: 25
13 0.001495165871997194 0.0014989034214719639 23 25 18
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.8251676567521001
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.7063639092861174
# TT-PIVMGS:    ortho max err 0.00016583264905837333 , max. rank: 26
14 0.0011327537453769054 0.0011228730486261816 25 26 17
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.8243194640077536
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.7061372449880378
# TT-PIVMGS:    ortho max err 0.0003723422486820011 , max. rank: 28
15 0.0008657332083645741 0.0008644231982727884 27 28 17
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.8237717564043275
