PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=6, eps=0.0001, maxIter=40, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='no_precond')

###### no preconditioning (PIVMGS) ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9590012948072295
# TT-PIVMGS:    ortho max err 7.077671781985373e-16 , max. rank: 4
1 0.28340168764151236 0.28340168764151313 4 4 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.8995511901261319
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.6029639492752015
# TT-PIVMGS:    ortho max err 1.6514567491299204e-15 , max. rank: 6
2 0.11461759494648333 0.11461759494648259 6 6 4
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.864209466948945
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.6604925977013016
# TT-PIVMGS:    ortho max err 5.245423394676166e-06 , max. rank: 8
3 0.056840746430476916 0.05684076114699116 8 8 6
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.8442899481697252
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.6851617953053895
# TT-PIVMGS:    ortho max err 1.1516597583483175e-05 , max. rank: 10
4 0.03224558946094225 0.03224548236380133 10 10 8
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8348360133320063
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6989568301564332
# TT-PIVMGS:    ortho max err 2.0498207779360428e-05 , max. rank: 12
5 0.019998908774438117 0.019998752886490237 12 12 8
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.8316663516057949
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.705030498889165
# TT-PIVMGS:    ortho max err 3.300896094332942e-05 , max. rank: 14
6 0.013129730355249787 0.013130059442516518 14 14 10
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.8300565248025279
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.7028635384454109
